job_id,industry,required_skills,acceptable_majors,min_gpa,min_months_experience,min_academic_level,min_hours_per_week,min_length_of_commitment,job_in_person_commitment,min_num_publications,job_llm_output
J0041,Theory,"['Formal Methods', 'Linear Algebra', 'Sparse Recovery', 'Regret Analysis', 'Convex Optimization', 'Algorithm Design', 'Random Matrix Theory', 'VC Dimension', 'Mathematical Proofs', 'Concentration Inequalities']","['Computer Science', 'Electrical Engineering', 'Statistics']",2.79,11,UG1,17,4,In Person,0,"As a researcher in the field of theory, the candidate will be responsible for designing and analyzing novel algorithms in the areas of formal methods, linear algebra, sparse recovery, and regret analysis. They will work on developing algorithms for convex optimization and random matrix theory, with a focus on understanding their performance guarantees and proving their correctness through mathematical proofs. The candidate will also investigate the VC dimension and concentration inequalities to improve the efficiency and robustness of these algorithms. </s> As a researcher in the field of theory, the candidate will be responsible for designing and analyzing novel algorithms in the areas of formal methods, linear algebra, sparse recovery, and regret analysis. They will work."
J0042,NLP,"['Dependency Parsing', 'GPT', 'Document Clustering', 'Speech Recognition', 'BERT', 'Named Entity Recognition', 'Text Summarization', 'Language Modeling', 'Prompt Engineering', 'Question Answering']","['Statistics', 'Computer Science', 'Electrical Engineering']",2.21,26,MS1,39,1,No Preference,1,"As a Natural Language Processing (NLP) Engineer, you will be responsible for developing and implementing advanced NLP models to improve the performance of our language understanding systems. Your primary focus will be on enhancing our existing models in areas such as dependency parsing, GPT, document clustering, and speech recognition. Additionally, you will work on integrating state-of-the-art techniques like BERT, named entity recognition, text summarization, language modeling, prompt engineering, and question answering to further refine our models' capabilities. Throughout this process, you will collaborate with a cross-functional team to ensure the successful integration of your solutions into our overall product offering."
J0043,NLP,"['Language Modeling', 'Document Clustering', 'Tokenization', 'Fine-tuning LLMs', 'Prompt Engineering', 'Text Summarization', 'BERT', 'Text Classification', 'Machine Translation', 'Information Extraction']","['Computer Science', 'Applied Data Science', 'Electrical Engineering']",2.48,5,UG2,16,1,Online,0,"As a Language Modeling Engineer, you will be responsible for designing and implementing advanced natural language processing (NLP) models, focusing on tasks such as document clustering, tokenization, and fine-tuning large language models (LLMs). You will work on developing effective prompt engineering strategies, text summarization techniques, and text classification algorithms, leveraging cutting-edge technologies like BERT. Additionally, you will contribute to machine translation projects and information extraction systems, ensuring the delivery of high-quality, efficient, and accurate NLP solutions."
J0044,NLP,"['POS Tagging', 'Chatbots', 'Text Summarization', 'Dependency Parsing', 'Language Modeling', 'BERT', 'Question Answering', 'Speech Recognition', 'Topic Modeling', 'Fine-tuning LLMs']","['Computer Science', 'Applied Math', 'Applied Data Science']",2.13,14,UG3,38,1,No Preference,0,"As a Natural Language Processing (NLP) Engineer, you will be responsible for developing and implementing cutting-edge NLP models to improve the performance of our chatbots and text summarization systems. Your primary tasks will involve fine-tuning Language Model Models (LLMs) using techniques such as BERT, and implementing advanced NLP techniques like POS tagging, dependency parsing, and question answering. Additionally, you will work on speech recognition projects and explore the use of topic modeling to enhance our language understanding capabilities."
J0045,CV,"['Transfer Learning', 'OCR', 'R-CNN', 'ResNet', 'Stereo Vision', 'Image Segmentation', 'Object Detection', 'Mask R-CNN', 'VGG', 'Style Transfer']","['Computer Science', 'Statistics', 'Applied Data Science']",2.79,29,UG3,26,4,No Preference,0,"As a Computer Vision Engineer, the candidate will be responsible for developing and implementing advanced machine learning algorithms for various computer vision tasks. Specifically, the candidate will work on transfer learning, object detection using R-CNN and Mask R-CNN, and image segmentation using ResNet and VGG architectures. Additionally, the candidate will contribute to the development of OCR systems, stereo vision algorithms, and style transfer techniques to enhance the performance of our computer vision applications."
J0046,CV,"['Object Detection', 'GAN', 'Inception', 'Facial Recognition', 'ResNet', 'Convolutional Neural Networks', 'Image Segmentation', 'Transfer Learning', '3D Vision', 'OCR']","['Applied Data Science', 'Electrical Engineering', 'Computer Science']",3.04,11,UG4,34,2,Online,2,"In this role, the candidate will be responsible for developing and implementing advanced object detection models using cutting-edge techniques such as Generative Adversarial Networks (GAN), Inception, and ResNet. They will also work on improving facial recognition algorithms, employing Convolutional Neural Networks (CNN) and Image Segmentation. Additionally, the successful candidate will engage in transfer learning projects, focusing on 3D Vision and Optical Character Recognition (OCR) to enhance the performance of our machine learning models."
J0047,NLP,"['Speech Recognition', 'Dependency Parsing', 'GPT', 'Prompt Engineering', 'Attention Mechanisms', 'Tokenization', 'Word Embeddings', 'Document Clustering', 'Text Classification', 'Sentiment Analysis']","['Electrical Engineering', 'Computer Science', 'Applied Data Science']",2.59,31,UG3,26,3,No Preference,0,"As a Natural Language Processing (NLP) Engineer, you will be responsible for designing, developing, and implementing state-of-the-art algorithms and models to improve speech recognition, dependency parsing, and other key NLP tasks. You will work on enhancing existing models using techniques such as prompt engineering, attention mechanisms, tokenization, and word embeddings. Additionally, you will contribute to projects involving document clustering, text classification, sentiment analysis, and other data-driven NLP applications. Your role will involve a mix of theoretical research, practical implementation, and collaboration with a team of experts to deliver high-quality NLP solutions."
J0048,Theory,"['PAC Learning', 'Approximation Algorithms', 'Convex Optimization', 'Combinatorial Optimization', 'Concentration Inequalities', 'Algorithm Design', 'High-Dimensional Statistics', 'Online Learning', 'Game Theory', 'Computational Complexity']","['Applied Data Science', 'Computer Science', 'Statistics']",2.34,23,MS1,32,1,Online,1,"As a researcher in the field of theory, the candidate will be responsible for developing and analyzing novel algorithms for machine learning and optimization problems. This will involve applying techniques from PAC learning, approximation algorithms, convex optimization, and combinatorial optimization, as well as utilizing concentration inequalities and high-dimensional statistics. The candidate will also design new algorithms for online learning, game theory, and computational complexity, and may collaborate with other researchers on these projects. The ultimate goal is to advance the state of the art in these areas and contribute to the development of more efficient and effective algorithms for a wide range of applications."
J0049,CV,"['R-CNN', 'VGG', 'VAE', 'Image Generation', 'YOLO', 'Convolutional Neural Networks', 'Transfer Learning', 'Mask R-CNN', 'SLAM', 'Facial Recognition']","['Computer Science', 'Electrical Engineering', 'Applied Data Science']",2.99,5,UG2,8,1,Online,1,"As a Computer Vision Engineer, the successful candidate will work on developing and implementing advanced deep learning models for image generation, including R-CNN, VGG, and VAE. They will also be responsible for utilizing techniques such as YOLO, Convolutional Neural Networks, and Transfer Learning to enhance the performance of these models. Additionally, the candidate will collaborate on projects involving Mask R-CNN, SLAM, and Facial Recognition, contributing to the development of cutting-edge computer vision solutions."
J0050,Robotics,"['Inverse Kinematics', 'State Estimation', 'Robot Learning', 'PID Control', 'Grasping', 'Obstacle Avoidance', 'Gazebo Simulation', 'Control Systems', 'Navigation', 'Localization']","['Computer Science', 'Applied Data Science', 'Electrical Engineering']",2.69,32,UG2,5,2,Hybrid,2,"As a Robotics Engineer, the candidate will be responsible for designing and implementing advanced control systems, incorporating techniques such as Inverse Kinematics, PID Control, and Grasping, to enhance the functionality and efficiency of robotic systems. The candidate will also work on developing robust state estimation and obstacle avoidance algorithms, ensuring the safe and effective navigation of robots in complex environments. Additionally, the candidate will contribute to the development and simulation of robotic systems using tools like Gazebo Simulation, and will collaborate with the team to integrate their work with the overall robot learning and localization systems."
J0051,Theory,"['Algorithm Design', 'VC Dimension', 'Theoretical CS', 'Random Matrix Theory', 'Mathematical Proofs', 'Regret Analysis', 'Linear Algebra', 'Online Learning', 'Compressed Sensing', 'Graph Theory']","['Applied Data Science', 'Computer Science', 'Applied Math']",2.6,34,UG4,30,3,Online,2,"As a Research Scientist in the field of Theoretical Computer Science, the candidate will be responsible for designing and analyzing algorithms with a focus on the VC dimension, random matrix theory, and mathematical proofs. The successful candidate will work on developing new theoretical models for online learning, regret analysis, linear algebra, and compressed sensing. Additionally, they will contribute to the study of graph theory and its applications in machine learning and data analysis."
J0052,NLP,"['Question Answering', 'Tokenization', 'BERT', 'Word Embeddings', 'Dependency Parsing', 'Seq2Seq', 'Text Summarization', 'Named Entity Recognition', 'Speech Recognition', 'Chatbots']","['Computer Science', 'Statistics', 'Applied Data Science']",2.23,21,UG1,29,2,In Person,2,"As a Natural Language Processing (NLP) Engineer, you will be responsible for designing, developing, and implementing advanced machine learning models to enhance our NLP capabilities. Specifically, you will work on tasks such as question answering, tokenization, and text summarization using techniques like BERT, Word Embeddings, and Seq2Seq. Additionally, you will contribute to projects involving dependency parsing, named entity recognition, and speech recognition to improve the performance of our chatbots."
J0053,Reinforcement Learning,"['OpenAI Gym', 'Dynamic Programming', 'PPO', 'Policy Gradient', 'Reward Shaping', 'Multi-Agent RL', 'Model-Based RL', 'Temporal Difference', 'Value Iteration', 'Bandit Algorithms']","['Applied Data Science', 'Electrical Engineering', 'Computer Science']",3.53,34,UG4,21,2,In Person,2,"As a Reinforcement Learning Engineer, you will be responsible for designing and implementing advanced reinforcement learning algorithms to solve complex decision-making problems. You will work on developing and optimizing models using OpenAI Gym, Dynamic Programming, Proximal Policy Optimization (PPO), Policy Gradient, Reward Shaping, Multi-Agent RL, Model-Based RL, Temporal Difference, Value Iteration, and Bandit Algorithms. Your primary focus will be on creating efficient and effective reinforcement learning solutions that can be applied to a wide range of real-world scenarios."
J0054,Applications (Other),"['Federated Learning', 'Data Privacy', 'HIPAA Compliance', 'Fairness in ML', 'Survival Analysis', 'Time Series Analysis', 'Drug Discovery', 'Bioinformatics', 'Causal Inference', 'Medical Imaging']","['Applied Data Science', 'Economics', 'Electrical Engineering']",3.63,2,UG3,4,2,No Preference,0,"As a Senior Machine Learning Engineer, you will be responsible for designing and implementing federated learning models to address complex data privacy challenges in the healthcare sector. You will work on integrating HIPAA compliance, fairness in machine learning, and data privacy best practices to ensure secure and ethical data usage. Additionally, you will collaborate with cross-functional teams to apply your expertise in survival analysis, time series analysis, drug discovery, bioinformatics, causal inference, and medical imaging to drive innovative solutions in the field of personalized medicine."
J0055,Reinforcement Learning,"['Exploration Strategies', 'OpenAI Gym', 'Bandit Algorithms', 'Value Iteration', 'TRPO', 'Dynamic Programming', 'Markov Decision Process', 'Policy Gradient', 'Temporal Difference', 'TD3']","['Computer Science', 'Statistics', 'Electrical Engineering']",2.9,9,UG2,30,2,Hybrid,2,"As a Reinforcement Learning Engineer, you will be responsible for designing and implementing exploration strategies for various environments using OpenAI Gym. You will also work on developing and applying advanced reinforcement learning algorithms such as Bandit Algorithms, Value Iteration, TRPO, Dynamic Programming, Markov Decision Process, Policy Gradient, Temporal Difference, and TD3. Additionally, you will be tasked with optimizing and improving the performance of these algorithms to solve complex decision-making problems."
J0056,Applications (Other),"['Medical Imaging', 'Fairness in ML', 'HIPAA Compliance', 'Causal Inference', 'Privacy-Preserving ML', 'Time Series Analysis', 'Survival Analysis', 'Clinical Data Analysis', 'Epidemiology', 'Drug Discovery']","['Economics', 'Electrical Engineering', 'Applied Math']",3.52,12,UG4,31,2,Hybrid,2,"As a Medical Imaging Data Scientist, you will be responsible for developing and implementing machine learning models to analyze medical imaging data, ensuring fairness and HIPAA compliance. You will work on projects that involve causal inference, privacy-preserving machine learning, time series analysis, survival analysis, and clinical data analysis. Additionally, you will contribute to epidemiological studies and drug discovery initiatives by analyzing large-scale clinical datasets."
J0057,Theory,"['Formal Methods', 'VC Dimension', 'Algorithm Design', 'Mathematical Proofs', 'Combinatorial Optimization', 'PAC Learning', 'Computational Learning Theory', 'Computational Complexity', 'Regret Analysis', 'Theoretical CS']","['Computer Science', 'Electrical Engineering', 'Statistics']",3.4,14,MS1,23,1,Hybrid,2,"As a Theoretical Computer Science Researcher, you will be responsible for designing and analyzing algorithms, developing formal methods for machine learning, and proving the complexity and efficiency of computational learning models. You will work on various projects involving PAC learning, computational learning theory, computational complexity, regret analysis, and combinatorial optimization. Your role will involve creating mathematical proofs, designing efficient algorithms, and contributing to the advancement of theoretical computer science."
J0058,Robotics,"['Dynamics Modeling', 'MuJoCo', 'Imitation Learning', 'Localization', 'V-REP', 'SLAM', 'Motion Planning', 'Inverse Kinematics', 'Navigation', 'Particle Filters']","['Electrical Engineering', 'Applied Data Science', 'Computer Science']",3.04,8,UG1,19,2,Online,0,"As a Robotics Engineer, you will be responsible for developing advanced algorithms for robotics systems. Your primary focus will be on implementing and optimizing dynamics modeling using MuJoCo, imitation learning, localization, and navigation techniques. Additionally, you will work on integrating SLAM, motion planning, inverse kinematics, and particle filters to enhance the overall performance of the robot. Your contributions will play a crucial role in creating intelligent and efficient robotics solutions. [REVIEW] This job description provides a clear overview of the technical tasks and responsibilities for a Robotics Engineer role. It highlights the required skills, such as dynamics modeling, MuJoCo, imitation learning, localization."
J0059,Reinforcement Learning,"['DDPG', 'Monte Carlo Methods', 'Exploration Strategies', 'Bellman Equation', 'Multi-Agent RL', 'TRPO', 'Dynamic Programming', 'Reward Shaping', 'Inverse RL', 'Model-Based RL']","['Computer Science', 'Electrical Engineering', 'Applied Data Science']",3.45,29,UG1,10,1,No Preference,2,"As a Reinforcement Learning Engineer, you will be responsible for designing, developing, and implementing advanced reinforcement learning algorithms to solve complex decision-making problems. Your primary focus will be on mastering techniques such as DDPG, Monte Carlo Methods, and Exploration Strategies, while also delving into the Bellman Equation, Multi-Agent RL, TRPO, and Dynamic Programming. You will work on shaping rewards, creating models, and devising inverse reinforcement learning strategies to optimize decision-making processes in dynamic environments."
J0060,Theory,"['Optimization Theory', 'Combinatorial Optimization', 'Algorithm Design', 'PAC Learning', 'High-Dimensional Statistics', 'Convex Optimization', 'Online Learning', 'Graph Theory', 'Mathematical Proofs', 'Theoretical CS']","['Computer Science', 'Applied Data Science', 'Electrical Engineering']",3.48,23,UG1,15,2,Online,2,"As a researcher in the field of theory, the candidate will focus on developing and analyzing optimization algorithms for various problems in computer science. This will involve applying techniques from combinatorial optimization, algorithm design, PAC learning, high-dimensional statistics, convex optimization, online learning, graph theory, and mathematical proofs. The candidate will work on designing and proving the efficiency and effectiveness of these algorithms, contributing to the advancement of theoretical computer science."
J0061,Applications (Other),"['Data Privacy', 'Medical Imaging', 'Forecasting', 'Fairness in ML', 'Survival Analysis', 'Drug Discovery', 'Bioinformatics', 'Healthcare Analytics', 'Statistical Modeling', 'Anomaly Detection']","['Electrical Engineering', 'Applied Math', 'Computer Science']",2.17,34,UG2,25,2,Online,1,"As a Data Scientist in the Applications (Other) industry, the candidate will be responsible for applying their expertise in data privacy, medical imaging, forecasting, fairness in machine learning, survival analysis, drug discovery, bioinformatics, healthcare analytics, statistical modeling, and anomaly detection to develop innovative solutions. They will work on projects that involve analyzing and interpreting complex data sets to improve the accuracy and efficiency of medical imaging, predict drug efficacy, and enhance the fairness of machine learning models. The candidate will also collaborate with cross-functional teams to implement their findings and ensure the integrity and security of sensitive data."
J0062,Robotics,"['SLAM', 'Obstacle Avoidance', 'Gazebo Simulation', 'Grasping', 'PID Control', 'Motion Planning', 'Trajectory Optimization', 'Computer Vision for Robotics', 'Navigation', 'State Estimation']","['Computer Science', 'Applied Data Science', 'Electrical Engineering']",3.71,23,UG1,24,2,In Person,1,"As a Robotics Engineer, you will be responsible for designing, implementing, and testing advanced robotics algorithms for tasks such as SLAM, obstacle avoidance, and grasping. You will work on developing robust motion planning and trajectory optimization techniques, utilizing computer vision for robotics to navigate complex environments and perform accurate state estimation. Additionally, you will collaborate with the team to integrate your algorithms into Gazebo simulation, ensuring the robot's performance in both simulation and real-world scenarios."
J0063,Theory,"['Information Theory', 'Convex Optimization', 'Online Learning', 'Optimization Theory', 'Computational Learning Theory', 'Compressed Sensing', 'Algorithm Design', 'Computational Complexity', 'Approximation Algorithms', 'Statistical Learning Theory']","['Computer Science', 'Electrical Engineering', 'Applied Data Science']",3.78,36,UG2,5,3,Online,0,"As a researcher in the field of Information Theory, the candidate will be responsible for developing novel algorithms and theoretical foundations for data compression, communication, and learning systems. They will work on designing and analyzing computational learning theory, convex optimization, and online learning techniques to solve complex optimization problems in data compression, communication, and machine learning. Additionally, the candidate will contribute to the development of approximation algorithms, computational complexity, and statistical learning theory to advance the state-of-the-art in information theory and its applications."
J0064,Theory,"['Computational Learning Theory', 'Linear Algebra', 'Compressed Sensing', 'Algorithm Design', 'PAC Learning', 'Theoretical CS', 'Formal Methods', 'High-Dimensional Statistics', 'Sparse Recovery', 'Probability Theory']","['Electrical Engineering', 'Applied Data Science', 'Computer Science']",2.2,1,UG2,1,1,Hybrid,0,"As a computational learning theorist in our research team, you will be responsible for designing and analyzing novel algorithms in high-dimensional statistics, sparse recovery, and compressed sensing. You will collaborate with other researchers to develop theoretical foundations for these algorithms, focusing on their computational efficiency and robustness. Additionally, you will contribute to the development of formal methods for analyzing the performance of these algorithms, with a particular emphasis on PAC learning and probability theory."
J0065,Reinforcement Learning,"['Multi-Agent RL', 'Deep Q-Networks', 'PPO', 'OpenAI Gym', 'Exploration Strategies', 'Actor-Critic', 'Policy Gradient', 'Reward Shaping', 'Unity ML-Agents', 'Monte Carlo Methods']","['Computer Science', 'Electrical Engineering', 'Applied Data Science']",2.92,6,UG4,33,1,Hybrid,1,"As a Reinforcement Learning Engineer, you will be responsible for designing, developing, and implementing advanced multi-agent reinforcement learning algorithms using Deep Q-Networks, Proximal Policy Optimization (PPO), and other relevant techniques such as Actor-Critic and Policy Gradient methods. Your primary focus will be on creating efficient exploration strategies to optimize learning in complex environments, using tools like OpenAI Gym and Unity ML-Agents. Additionally, you will work on shaping rewards and employing Monte Carlo methods to enhance the performance of your models, ultimately contributing to the development of intelligent agents capable of interacting effectively with dynamic and unpredictable environments."
J0066,Robotics,"['ROS', 'Motion Planning', 'Obstacle Avoidance', 'Manipulation', 'Grasping', 'SLAM', 'Robot Learning', 'Navigation', 'Path Planning', 'State Estimation']","['Statistics', 'Computer Science', 'Electrical Engineering']",2.58,9,UG1,9,2,No Preference,2,"As a Robotics Engineer, the candidate will be responsible for designing and implementing advanced robotics systems using ROS (Robot Operating System). They will work on developing motion planning algorithms for robot manipulation, obstacle avoidance, and navigation, ensuring seamless integration with SLAM (Simultaneous Localization and Mapping) and robot learning technologies. Additionally, the candidate will contribute to path planning and state estimation, aiming to enhance the robot's ability to adapt to dynamic environments and perform complex tasks."
J0067,CV,"['VGG', 'VAE', 'Style Transfer', 'Facial Recognition', 'GAN', 'YOLO', '3D Vision', 'Super Resolution', 'Image Classification', 'OCR']","['Applied Data Science', 'Electrical Engineering', 'Computer Science']",2.81,14,UG4,22,4,No Preference,2,"As a Computer Vision Engineer, the candidate will be responsible for designing, implementing, and optimizing various deep learning models such as VGG, VAE, Style Transfer, Facial Recognition, GAN, YOLO, 3D Vision, Super Resolution, Image Classification, and OCR. They will work on developing innovative solutions to real-world problems, including image and video analysis, object detection, and text recognition. Additionally, the candidate will collaborate with a cross-functional team to integrate their models into larger systems and ensure the accuracy and efficiency of the overall solution."
J0068,Applications (Other),"['Explainable AI', 'Drug Discovery', 'Survival Analysis', 'HIPAA Compliance', 'Ethics in AI', 'Clinical Data Analysis', 'Healthcare Analytics', 'Signal Processing', 'Time Series Analysis', 'Anomaly Detection']","['Quantitative Biology', 'Computer Science', 'Economics']",2.78,23,UG2,36,2,In Person,1,"As a Data Scientist in the Applications (Other) industry, you will be responsible for developing and implementing Explainable AI models to aid in drug discovery. You will analyze clinical data and healthcare analytics using techniques such as Survival Analysis, Signal Processing, and Time Series Analysis. Additionally, you will ensure HIPAA compliance, apply ethical principles in AI, and detect anomalies in the data to improve the overall efficiency and accuracy of the drug discovery process."
J0069,Theory,"['Mathematical Proofs', 'Game Theory', 'Computational Complexity', 'VC Dimension', 'Compressed Sensing', 'Computational Learning Theory', 'Graph Theory', 'Convex Optimization', 'Concentration Inequalities', 'Information Theory']","['Computer Science', 'Electrical Engineering', 'Applied Data Science']",2.28,30,UG2,7,2,In Person,1,"The selected candidate will be responsible for developing and implementing mathematical models in the field of theory, specifically focusing on areas such as mathematical proofs, game theory, computational complexity, VC dimension, compressed sensing, computational learning theory, graph theory, convex optimization, concentration inequalities, and information theory. They will work on designing and analyzing algorithms, proving their correctness, and evaluating their computational complexity. Additionally, the candidate will collaborate with other researchers to apply these theories to real-world problems, contributing to the advancement of the field."
J0070,CV,"['Transfer Learning', 'GAN', 'Super Resolution', 'Facial Recognition', '3D Vision', 'Stereo Vision', 'Convolutional Neural Networks', 'ResNet', 'Pose Estimation', 'Mask R-CNN']","['Applied Data Science', 'Computer Science', 'Applied Math']",2.49,19,UG3,23,1,No Preference,0,"As a Computer Vision Engineer, you will be responsible for developing advanced algorithms for transfer learning, generative adversarial networks (GAN), and super-resolution techniques. Your primary focus will be on implementing and optimizing facial recognition, 3D vision, and stereo vision systems using Convolutional Neural Networks (CNN), ResNet, and Mask R-CNN. Additionally, you will work on enhancing pose estimation capabilities to improve the accuracy and efficiency of our vision-based applications."
J0071,Reinforcement Learning,"['Off-Policy Learning', 'Dynamic Programming', 'Q-Learning', 'Policy Gradient', 'Exploration Strategies', 'SAC', 'Temporal Difference', 'OpenAI Gym', 'Unity ML-Agents', 'Model-Based RL']","['Statistics', 'Applied Math', 'Computer Science']",2.28,19,UG3,37,1,Online,0,"As a Reinforcement Learning Engineer, you will be responsible for designing and implementing advanced algorithms for off-policy learning, dynamic programming, and Q-Learning. Your primary focus will be on developing and optimizing policy gradient methods, such as Soft Actor-Critic (SAC), and employing exploration strategies to ensure efficient learning. You will also work on integrating these algorithms with popular RL frameworks like OpenAI Gym and Unity ML-Agents, and apply them to solve complex reinforcement learning problems."
J0072,CV,"['Object Detection', '3D Vision', 'Image Segmentation', 'ResNet', 'VAE', 'GAN', 'Image Generation', 'OCR', 'Facial Recognition', 'SLAM']","['Computer Science', 'Applied Math', 'Statistics']",2.39,32,UG1,23,2,No Preference,2,"As a Computer Vision Engineer, the candidate will be responsible for designing, developing, and implementing advanced object detection, 3D vision, and image segmentation algorithms using state-of-the-art techniques such as ResNet, Variational Autoencoders (VAE), and Generative Adversarial Networks (GAN). They will work on image generation, Optical Character Recognition (OCR), facial recognition, and Simultaneous Localization and Mapping (SLAM) systems to enhance the performance and efficiency of our AI-powered products. The successful candidate will collaborate with a multidisciplinary team to integrate these technologies into real-world applications, ensuring the delivery of high-quality."
J0073,Robotics,"['Inverse Kinematics', 'Motion Planning', 'Control Systems', 'Manipulation', 'Gazebo Simulation', 'Imitation Learning', 'ROS', 'Computer Vision for Robotics', 'Dynamics Modeling', 'Kalman Filters']","['Statistics', 'Electrical Engineering', 'Computer Science']",3.38,16,UG3,21,2,No Preference,0,"As a Robotics Engineer, you will be responsible for designing, developing, and implementing advanced robotics systems. Your primary focus will be on developing inverse kinematics, motion planning, and control systems for robotic manipulators. You will also work on integrating Gazebo simulation, imitation learning, and computer vision for robotics to enhance the performance and adaptability of the robots. Additionally, you will model the dynamics of the robots and implement Kalman filters for improved accuracy and stability in their operations."
J0074,Reinforcement Learning,"['Temporal Difference', 'DDPG', 'Bellman Equation', 'TD3', 'Exploration Strategies', 'Off-Policy Learning', 'Monte Carlo Methods', 'Policy Gradient', 'Experience Replay', 'Deep Q-Networks']","['Computer Science', 'Electrical Engineering', 'Applied Data Science']",2.79,29,UG1,21,2,No Preference,1,"As a Reinforcement Learning Engineer, the candidate will be responsible for designing, implementing, and optimizing deep learning models using various reinforcement learning techniques such as Temporal Difference, DDPG, and Bellman Equation. They will work on developing and improving off-policy learning algorithms, including TD3, and employing exploration strategies to enhance the efficiency of the learning process. The candidate will also focus on refining and integrating Monte Carlo methods, policy gradient techniques, and experience replay mechanisms into deep Q-networks to create robust and scalable reinforcement learning systems."
J0075,Applications (Other),"['Genomics', 'Data Analysis', 'Explainable AI', 'Privacy-Preserving ML', 'Experimental Design', 'Medical Imaging', 'Clinical Data Analysis', 'Time Series Analysis', 'Drug Discovery', 'Bioinformatics']","['Applied Data Science', 'Applied Math', 'Statistics']",2.72,5,UG4,20,1,Hybrid,0,"As a Genomics Data Analyst, the candidate will be responsible for analyzing complex genomic data to identify patterns and insights that can aid in drug discovery and medical research. They will work on developing explainable AI models to ensure transparency and interpretability in the results, while also implementing privacy-preserving machine learning techniques to protect patient data. Additionally, the candidate will design and execute experiments, analyze medical imaging and clinical data, and perform time series analysis to monitor trends and make informed decisions."
J0076,Applications (Other),"['Anomaly Detection', 'Data Privacy', 'Bioinformatics', 'Survival Analysis', 'HIPAA Compliance', 'Differential Privacy', 'Clinical Data Analysis', 'A/B Testing', 'Healthcare Analytics', 'Federated Learning']","['Computer Science', 'Applied Data Science', 'Electrical Engineering']",2.36,9,UG1,12,4,No Preference,2,"As a Senior Data Scientist in the Applications (Other) industry, you will be responsible for developing and implementing advanced data analysis techniques to identify anomalies in complex healthcare datasets. Your role will involve ensuring compliance with data privacy regulations such as HIPAA, implementing differential privacy methods to protect patient data, and conducting clinical data analysis to improve healthcare outcomes. Additionally, you will work on A/B testing and healthcare analytics projects, employing bioinformatics, survival analysis, and federated learning to drive meaningful insights and improvements in patient care."
J0077,CV,"['VAE', '3D Vision', 'Pose Estimation', 'OCR', 'SLAM', 'Facial Recognition', 'Inception', 'Stereo Vision', 'R-CNN', 'Point Cloud Processing']","['Computer Science', 'Applied Math', 'Applied Data Science']",2.12,28,UG3,18,2,In Person,1,"In this role, the candidate will be responsible for developing and implementing advanced computer vision algorithms for a variety of tasks, including object detection using R-CNN, facial recognition, and stereo vision. They will also work on generating 3D point clouds from images and processing them, as well as utilizing techniques such as VAE, OCR, SLAM, and Inception for enhanced performance in the field of 3D vision and pose estimation. The successful candidate will collaborate with a team of researchers and engineers to create innovative solutions that push the boundaries of computer vision technology."
J0078,NLP,"['POS Tagging', 'BERT', 'Prompt Engineering', 'Attention Mechanisms', 'Language Modeling', 'GPT', 'Text Summarization', 'Information Extraction', 'Seq2Seq', 'Fine-tuning LLMs']","['Computer Science', 'Applied Data Science', 'Statistics']",3.04,2,UG4,37,2,No Preference,2,"As a Natural Language Processing (NLP) Engineer, you will be responsible for designing, developing, and implementing advanced machine learning models to improve language understanding and processing. Your primary focus will be on applying techniques such as POS tagging, BERT, prompt engineering, attention mechanisms, language modeling, GPT, text summarization, information extraction, Seq2Seq, and fine-tuning large language models (LLMs) to various NLP tasks. You will work on enhancing the performance of these models, ensuring they are efficient, accurate, and adaptable to real-world scenarios. Additionally, you will collaborate with cross-functional teams to integrate your models into practical applications, contributing to the development."
J0079,Reinforcement Learning,"['Deep Q-Networks', 'Unity ML-Agents', 'Actor-Critic', 'Model-Based RL', 'Policy Gradient', 'Exploration Strategies', 'TRPO', 'Experience Replay', 'TD3', 'Off-Policy Learning']","['Computer Science', 'Electrical Engineering', 'Applied Math']",3.78,33,MS1,40,2,Hybrid,1,"As a Reinforcement Learning Engineer, you will be responsible for designing, implementing, and optimizing deep reinforcement learning algorithms to train agents in complex environments. Specifically, you will work on developing deep Q-Networks and other advanced RL techniques, such as Actor-Critic methods, Policy Gradient, and Model-Based RL. Additionally, you will focus on implementing these techniques using Unity ML-Agents and other popular RL libraries, while also exploring novel exploration strategies, such as TRPO, Experience Replay, TD3, and Off-Policy Learning, to ensure efficient and effective learning."
J0080,NLP,"['Fine-tuning LLMs', 'Word Embeddings', 'Dialog Systems', 'Text Summarization', 'BERT', 'Prompt Engineering', 'GPT', 'Chatbots', 'Text Classification', 'Seq2Seq']","['Applied Data Science', 'Electrical Engineering', 'Computer Science']",2.51,9,UG3,6,1,Hybrid,1,"As a Natural Language Processing (NLP) Engineer, you will be responsible for designing, implementing, and fine-tuning state-of-the-art Language Models (LLMs) to enhance various NLP applications. You will work on developing word embeddings, dialog systems, text summarization, and text classification models using advanced techniques such as BERT, GPT, and Prompt Engineering. Additionally, you will design and improve chatbots and sequential models for specific tasks, ensuring their efficiency and effectiveness in real-world scenarios."
